"성별","연령계층별","시점","15세이상인구[천명]","경제활동인구[천명]","취업자[천명]","실업자[천명]","비경제활동인구[천명]","경제활동참가율[%]","실업률[%]","고용률[%]",
"계","계","2011. 01 월","41141.1","24362.4","23438.9","923.5","16778.7","59.2","3.8","57",
"계","계","2011. 02 월","41186","24693.5","23589.2","1104.3","16492.6","60","4.5","57.3",
"계","계","2011. 03 월","41234.8","25192.9","24114.2","1078.7","16041.9","61.1","4.3","58.5",
"계","계","2011. 04 월","41278.7","25524.4","24580.5","943.9","15754.2","61.8","3.7","59.5",
"계","계","2011. 05 월","41337.5","25774.5","24950","824.5","15562.9","62.4","3.2","60.4",
"계","계","2011. 06 월","41375.4","25900.4","25052.5","847.9","15475","62.6","3.3","60.5",
"계","계","2011. 07 월","41421.9","25780.2","24933.1","847","15641.7","62.2","3.3","60.2",
"계","계","2011. 08 월","41459.7","25556.1","24783.7","772.3","15903.6","61.6","3","59.8",
"계","계","2011. 09 월","41487.3","25372.3","24604.3","768","16115","61.2","3","59.3",
"계","계","2011. 10 월","41521.4","25709.6","24964.8","744.8","15811.8","61.9","2.9","60.1",
"계","계","2011. 11 월","41565.3","25620.5","24885.4","735.1","15944.9","61.6","2.9","59.9",
"계","계","2011. 12 월","41635.8","25181.2","24420.7","760.5","16454.5","60.5","3","58.7",
"계","계","2012. 01 월","41659.8","24883.8","24023.7","860.1","16775.9","59.7","3.5","57.7",
"계","계","2012. 02 월","41698.6","25128.6","24079","1049.6","16570","60.3","4.2","57.7",
"계","계","2012. 03 월","41734.7","25518.6","24566","952.6","16216.1","61.1","3.7","58.9",
"계","계","2012. 04 월","41766.4","25959","25057.9","901.2","15807.4","62.2","3.5","60",
"계","계","2012. 05 월","41813","26242.6","25430.5","812.1","15570.4","62.8","3.1","60.8",
"계","계","2012. 06 월","41840.3","26241.2","25411.5","829.7","15599.1","62.7","3.2","60.7",
"계","계","2012. 07 월","41878.3","26180.8","25377.8","803","15697.5","62.5","3.1","60.6",
"계","계","2012. 08 월","41909.7","25890.7","25120.5","770.2","16019","61.8","3","59.9",
"계","계","2012. 09 월","41937.2","26013.9","25256.6","757.3","15923.3","62","2.9","60.2",
"계","계","2012. 10 월","41965.6","26036.9","25314.9","722.1","15928.6","62","2.8","60.3",
"계","계","2012. 11 월","42005.3","25896","25182.1","713.9","16109.2","61.6","2.8","59.9",
"계","계","2012. 12 월","42071.9","25378","24637","741","16693.9","60.3","2.9","58.6",
"계","계","2013. 01 월","42094.8","25137.8","24286.5","851.3","16957","59.7","3.4","57.7",
"계","계","2013. 02 월","42137","25205.9","24214.6","991.3","16931","59.8","3.9","57.5",
"계","계","2013. 03 월","42164.5","25620.5","24736.2","884.3","16544","60.8","3.5","58.7",
"계","계","2013. 04 월","42198","26148.8","25322.1","826.6","16049.2","62","3.2","60",
"계","계","2013. 05 월","42234.9","26408.9","25610.4","798.5","15825.9","62.5","3","60.6",
"계","계","2013. 06 월","42276","26499.2","25685.5","813.7","15776.8","62.7","3.1","60.8",
"계","계","2013. 07 월","42316.4","26508.7","25681.3","827.4","15807.7","62.6","3.1","60.7",
"계","계","2013. 08 월","42358.5","26296.3","25513","783.3","16062.2","62.1","3","60.2",
"계","계","2013. 09 월","42401.1","26422.1","25701.3","720.8","15979","62.3","2.7","60.6",
"계","계","2013. 10 월","42443.4","26522.3","25797.9","724.3","15921.1","62.5","2.7","60.8",
"계","계","2013. 11 월","42488.4","26497.1","25795.4","701.7","15991.3","62.4","2.6","60.7",
"계","계","2013. 12 월","42532.5","26023.4","25248.1","775.3","16509.1","61.2","3","59.4",
"계","계","2014. 01 월","42570.4","25941.3","25050.3","890.9","16629.1","60.9","3.4","58.8",
"계","계","2014. 02 월","42615.7","26292","25116.4","1175.6","16323.7","61.7","4.5","58.9",
"계","계","2014. 03 월","42655.9","26488.2","25462.5","1025.7","16167.7","62.1","3.9","59.7",
"계","계","2014. 04 월","42697","27018.1","25985","1033.1","15678.9","63.3","3.8","60.9",
"계","계","2014. 05 월","42740.7","27066.3","26111.5","954.7","15674.4","63.3","3.5","61.1",
"계","계","2014. 06 월","42783","27130.7","26178.2","952.5","15652.3","63.4","3.5","61.2",
"계","계","2014. 07 월","42820","27193.9","26280.4","913.5","15626.1","63.5","3.4","61.4",
"계","계","2014. 08 월","42861.2","27076.5","26183","893.5","15784.7","63.2","3.3","61.1",
"계","계","2014. 09 월","42897.4","27064.3","26213.2","851.1","15833.1","63.1","3.1","61.1",
"계","계","2014. 10 월","42929","27107.7","26246.6","861.1","15821.4","63.1","3.2","61.1",
"계","계","2014. 11 월","42967.4","27081.6","26260","821.6","15885.8","63","3","61.1",
"계","계","2014. 12 월","43003.5","26567.8","25679.4","888.4","16435.7","61.8","3.3","59.7",
"계","계","2015. 01 월","43040.3","26380","25391.9","988.1","16660.3","61.3","3.7","59",
"계","계","2015. 02 월","43081.1","26670.9","25470.7","1200.2","16410.1","61.9","4.5","59.1",
"계","계","2015. 03 월","43117.2","26840.2","25766.1","1074.1","16277","62.2","4","59.8",
"계","계","2015. 04 월","43156.6","27203.8","26153.2","1050.6","15952.8","63","3.9","60.6",
"계","계","2015. 05 월","43194.2","27452.9","26430.8","1022.1","15741.3","63.6","3.7","61.2",
"계","계","2015. 06 월","43231.8","27487.8","26440.1","1047.7","15744","63.6","3.8","61.2",
"계","계","2015. 07 월","43265.3","27535.6","26537.5","998","15729.7","63.6","3.6","61.3",
"계","계","2015. 08 월","43296","27293.5","26368.7","924.8","16002.5","63","3.4","60.9",
"계","계","2015. 09 월","43328.1","27354.7","26487.4","867.3","15973.4","63.1","3.2","61.1",
"계","계","2015. 10 월","43356.8","27358.4","26518.7","839.7","15998.3","63.1","3.1","61.2",
"계","계","2015. 11 월","43386.2","27298.2","26469.4","828.8","16088","62.9","3","61",
"계","계","2015. 12 월","43418.2","26965.2","26097.8","867.4","16453","62.1","3.2","60.1",
"계","계","2016. 01 월","43439","26630.8","25646.3","984.6","16808.1","61.3","3.7","59",
"계","계","2016. 02 월","43470.6","26924.7","25615.3","1309.4","16545.9","61.9","4.9","58.9",
"계","계","2016. 03 월","43506.3","27133","25980","1153","16373.3","62.4","4.2","59.7",
"계","계","2016. 04 월","43536.5","27398.3","26324.7","1073.6","16138.3","62.9","3.9","60.5",
"계","계","2016. 05 월","43571.1","27616.5","26612.9","1003.6","15954.6","63.4","3.6","61.1",
"계","계","2016. 06 월","43600.3","27720.4","26718.2","1002.2","15879.9","63.6","3.6","61.3",
"계","계","2016. 07 월","43626.3","27737.4","26764.6","972.8","15888.8","63.6","3.5","61.3",
"계","계","2016. 08 월","43651.8","27689.7","26696","993.7","15962.1","63.4","3.6","61.2",
"계","계","2016. 09 월","43677.9","27679.4","26696.8","982.6","15998.4","63.4","3.5","61.1",
"계","계","2016. 10 월","43704","27665.8","26745.6","920.2","16038.2","63.3","3.3","61.2",
