성별,연령계층별,연,월,항목,자료값
계,계,2011,1,15세이상인구[천명],41141.1
계,계,2011,2,15세이상인구[천명],41186
계,계,2011,3,15세이상인구[천명],41234.8
계,계,2011,4,15세이상인구[천명],41278.7
계,계,2011,5,15세이상인구[천명],41337.5
계,계,2011,6,15세이상인구[천명],41375.4
계,계,2011,7,15세이상인구[천명],41421.9
계,계,2011,8,15세이상인구[천명],41459.7
계,계,2011,9,15세이상인구[천명],41487.3
계,계,2011,10,15세이상인구[천명],41521.4
계,계,2011,11,15세이상인구[천명],41565.3
계,계,2011,12,15세이상인구[천명],41635.8
계,계,2012,1,15세이상인구[천명],41659.8
계,계,2012,2,15세이상인구[천명],41698.6
계,계,2012,3,15세이상인구[천명],41734.7
계,계,2012,4,15세이상인구[천명],41766.4
계,계,2012,5,15세이상인구[천명],41813
계,계,2012,6,15세이상인구[천명],41840.3
계,계,2012,7,15세이상인구[천명],41878.3
계,계,2012,8,15세이상인구[천명],41909.7
계,계,2012,9,15세이상인구[천명],41937.2
계,계,2012,10,15세이상인구[천명],41965.6
계,계,2012,11,15세이상인구[천명],42005.3
계,계,2012,12,15세이상인구[천명],42071.9
계,계,2013,1,15세이상인구[천명],42094.8
계,계,2013,2,15세이상인구[천명],42137
계,계,2013,3,15세이상인구[천명],42164.5
계,계,2013,4,15세이상인구[천명],42198
계,계,2013,5,15세이상인구[천명],42234.9
계,계,2013,6,15세이상인구[천명],42276
계,계,2013,7,15세이상인구[천명],42316.4
계,계,2013,8,15세이상인구[천명],42358.5
계,계,2013,9,15세이상인구[천명],42401.1
계,계,2013,10,15세이상인구[천명],42443.4
계,계,2013,11,15세이상인구[천명],42488.4
계,계,2013,12,15세이상인구[천명],42532.5
계,계,2014,1,15세이상인구[천명],42570.4
계,계,2014,2,15세이상인구[천명],42615.7
계,계,2014,3,15세이상인구[천명],42655.9
계,계,2014,4,15세이상인구[천명],42697
계,계,2014,5,15세이상인구[천명],42740.7
계,계,2014,6,15세이상인구[천명],42783
계,계,2014,7,15세이상인구[천명],42820
계,계,2014,8,15세이상인구[천명],42861.2
계,계,2014,9,15세이상인구[천명],42897.4
계,계,2014,10,15세이상인구[천명],42929
계,계,2014,11,15세이상인구[천명],42967.4
계,계,2014,12,15세이상인구[천명],43003.5
계,계,2015,1,15세이상인구[천명],43040.3
계,계,2015,2,15세이상인구[천명],43081.1
계,계,2015,3,15세이상인구[천명],43117.2
계,계,2015,4,15세이상인구[천명],43156.6
계,계,2015,5,15세이상인구[천명],43194.2
계,계,2015,6,15세이상인구[천명],43231.8
계,계,2015,7,15세이상인구[천명],43265.3
계,계,2015,8,15세이상인구[천명],43296
계,계,2015,9,15세이상인구[천명],43328.1
계,계,2015,10,15세이상인구[천명],43356.8
계,계,2015,11,15세이상인구[천명],43386.2
계,계,2015,12,15세이상인구[천명],43418.2
계,계,2016,1,15세이상인구[천명],43439
계,계,2016,2,15세이상인구[천명],43470.6
계,계,2016,3,15세이상인구[천명],43506.3
계,계,2016,4,15세이상인구[천명],43536.5
계,계,2016,5,15세이상인구[천명],43571.1
계,계,2016,6,15세이상인구[천명],43600.3
계,계,2016,7,15세이상인구[천명],43626.3
계,계,2016,8,15세이상인구[천명],43651.8
계,계,2016,9,15세이상인구[천명],43677.9
계,계,2016,10,15세이상인구[천명],43704
계,계,2016,11,15세이상인구[천명],43729.9
계,계,2016,12,15세이상인구[천명],43755.3
계,계,2017,1,15세이상인구[천명],43790.4
계,계,2017,2,15세이상인구[천명],43817.9
계,계,2017,3,15세이상인구[천명],43846
계,계,2017,4,15세이상인구[천명],43871.1
계,계,2017,5,15세이상인구[천명],43902.3
